Project	Involved	Department	Status	Language	GitHub
Metamask Integration	"""Allison """	Wallets	Roadblock	JS/TS	https://github.com/nautls/ergsnap
DexyGold	kushti, code-for-us, scalahub	Ecosystem	In progress		
TrustWallet integration	bez	Wallets	Roadblock		
Rosen	mhs, Armeanio, CW, Mohammed Kermani, Fateme Rahmani, Zargarzadeh, vorujack, SepherGanji	Ecosystem	Active	JS/TS, Scala	
Light SPV Wallet		Wallets	Roadblock		
Unifying payments standard	"""Allison """	Wallets	Inbox		
EIP process improvement	"Glasgow, ""Allison """	EIP	Inbox		
website maintenance	Glasgow, Dmitry Usov	Websites	In progress		
Ledger	"""Allison "", Glasgow"	Wallets	Done	C	https://github.com/tesseract-one/ledger-app-ergo/issues/11
Tangem	Glasgow	Wallets	Roadblock		
livecoinwatch		Integrations	In progress		
Koinly	Noah	Integrations	Done		
DeBank	bez	Editorial	Done		
Artemis	Glasgow	Integrations	Done		
GetBlock.io	Glasgow	Integrations	Roadblock		
KeyStone Wallet		Wallets	In progress		
WalletInvestor	Glasgow	Integrations	Awaiting Response		
dexscreener		Integrations	Awaiting Response		
tokenterminal	Glasgow	Integrations	Roadblock		
Glassnode	wombo	Integrations	K.B		
Messari	wombo	Integrations	K.B		
pokt	wombo	Integrations	Roadblock		
footprint network	wombo	Integrations	Roadblock		
intotheblock	Glasgow	Integrations	Awaiting Response		
defiprime		Integrations	Roadblock		
Coinranking	wombo	Integrations	Needs Check		
Exodus		Wallets	Roadblock		
Hostinger		Integrations	Inbox		
Chainalysis	Glasgow	Integrations	Awaiting Response		
ELLIPAL		Wallets			
Coinmarketcap	Glasgow, qx	Integrations	In progress		
Bubblemaps Integration	wombo	Integrations	Roadblock		
Spectrum Finance Dex on CMC		Integrations	Awaiting Response		
Dune Analytics		Integrations	Awaiting Response		
Coinfirm	Glasgow	Integrations	Roadblock		
CryptoStats		Integrations	Needs Check		
dAppRadar		Integrations	Inbox		
Nansen		Integrations	Needs Check		
Alchemy dApp Store		Integrations	Needs Check		
Bitget Wallet		Wallets			
